,polarity_peak,Lipid.class,Lipid.species,fragmentation,adduct,other.mode,MZ.target,RT.data,init_peak,polarity,schiz_peak,healthy_predicted,rt_error,ppm_error,schiz_peak_WO_,corr_all,corr_HC,polarity_schiz_peak
162,negFT14965,PC_P,PC_P 34:1,PC(P-18:1_16:0). PC( P-16:0_18:1),M-H+FA,posFT30088,788.5812108,7.746191915,FT14965,neg,FT17899,FT14965,-0.0041251536154156,0.3238903340655398,FT17899,0.7712625312039438,0.9538356116685756,negFT17899
163,negFT14905,PC_P,PC_P 34:2,PC(P-18:1_16:1),M-H+FA,posFT29929,786.5649308,6.986041768,FT14905,neg,FT17811,FT14905,-0.0026693562157973,0.2156493722177293,FT17811,0.597301417150496,0.8100816064396784,negFT17811
164,negFT16175,PC_O,PC_O 36:2,PC(O-18:0_18:2). PC(O-16:0_20:2). PC(O-18:1_18:1),M-H+FA,posFT32026,816.6112261,7.988268026,FT16175,neg,FT19362,FT16175,-0.0112679056339644,-0.1589877376230787,FT19362,0.7440629394890689,0.961750161987124,negFT19362
165,negFT16174,PC_P,PC_P 36:1,PC(P-18:0_18:1). PC(P-16:0_20:1),M-H+FA,posFT32029,816.6125887,8.932411702,FT16174,neg,FT19361,FT16174,-0.0106150603264154,-0.0189842012856579,FT19361,0.7613883806613809,0.9290687039744302,negFT19361
166,negFT16102,PC_P,PC_P 36:2,PC(P-18:1_18:1),M-H+FA,posFT31881,814.5968907,7.937885793,FT16102,neg,FT19263,FT16102,-0.0094226189708939,-0.0484197711909808,FT19263,0.7201288995903392,0.9649630456275682,negFT19263
168,negFT16022,PC_O,PC_O 36:4,PC(O-18:2_18:2),M-H+FA,posFT31766,812.5802332,6.986295573,FT16022,neg,FT19164_1,FT16022,0.0063088042034884,-0.529157670752017,FT19164,0.604511449584269,0.767774356088556,negFT19164_1
169,negFT17241,PC_P,PC_P 38:2,PC(P-18:2_20:0),M-H+FA,posFT33882,842.6286698,9.022608948,FT17241,neg,FT20652,FT17241,-0.0540753344790125,0.0920719872372085,FT20652,0.6365639362054409,0.7707828425454691,negFT20652
170,negFT17160,PC_O,PC_O 38:4,PC(O-16:0_22:4),M-H+FA,posFT33748,840.6120058,7.662679545,FT17160,neg,FT20537,FT17160,-0.0099795961192121,-0.1500137414614657,FT20537,0.6658768120739481,0.8345169850443348,negFT20537
171,negFT17083,PC_P,PC_P 38:4,PC(P-18:0_20:4),M-H+FA,posFT33610,838.5966219,7.929879761,FT17083,neg,FT20446,FT17083,-0.008690945292999,-0.3633623882977104,FT20446,0.7003862840206017,0.6260082517724461,negFT20446
172,negFT17007,PC_P,PC_P 38:5,PC(P-18:1_20:4),M-H+FA,posFT33474,836.580667,7.06941274,FT17007,neg,FT20356,FT17007,-0.0031409746110098,-0.2809516956888113,FT20356,0.7006355026042395,0.9194344632596372,negFT20356
173,negFT16929,PC_P,PC_P 38:6,PC(P-16:0_22:6),M-H+FA,posFT33320,834.5636542,6.654877218,FT16929,neg,FT20264,FT16929,-0.0024638220524764,-0.0276442417466453,FT20264,0.3873215371282145,0.6569742229629093,negFT20264
174,negFT05262,LPE,LPE 16:0,LPE(16:0),M-H,posFT11864,452.2777268,2.733248901,FT05262,neg,FT05602,FT05262,-0.0053664252266321,2.4619328617761727,FT05602,0.2778182778063546,0.5354786228260396,negFT05602
175,negFT05841,LPE,LPE 18:0,LPE(18:0),M-H,posFT13380,480.3091359,3.469151306,FT05841,neg,FT06187,FT05841,-0.0090817250888077,2.2776126764349023,FT06187,0.6091826474588558,0.6552764697327621,negFT06187
176,negFT06826,LPE,LPE 22:3,LPE(22:3),M-H,,530.3251654,3.372408168,FT06826,neg,FT07500,FT06826,-0.0125233232247969,2.2200347872289607,FT07500,0.2459600590365461,0.8729699312936663,negFT07500
177,negFT12932,PC,PC 29:0,PC(15:0_14:0),M-H+FA,posFT26763,736.5131318,5.858087667,FT12932,neg,FT15181,FT12932,-0.0009862071811097,0.2617407593822538,FT15181,0.5977683410507022,0.8312702954444492,negFT15181
178,negFT14038,PC,PC 31:0,PC(15:0_16:0),M-H+FA,posFT28491,764.5436464,6.593410746,FT14038,neg,FT16588,FT14038,0.0029460437994899,0.4913811072886838,FT16588,0.7278417170140129,0.7842908565770581,negFT16588
179,negFT13960,PC,PC 31:1,PC(14:0_17:1). PC(15:0_16:1). PC(15:1_16:0),M-H+FA,posFT28383,762.5285907,6.047309367,FT13960,neg,FT16481,FT13960,-0.0105382917062968,0.548578541970304,FT16481,0.1767264975358128,0.7639466822738493,negFT16481
180,negFT14960,PC,PC 33:2,PC(16:1_17:1). PC(16:0_17:2),M-H+FA,posFT30085,788.5434577,6.175264994,FT14960,neg,FT17894,FT14960,0.0041721513404873,0.1203555638126162,FT17894,0.2702624419516209,0.7631462316738943,negFT17894
181,negFT15369,PC,PC 34:4,PC(14:0_20:4). PC(20:3_14:1),M-H+FA,posFT30726,798.5306794,5.799591064,FT15369,neg,FT18386,FT15369,-0.003358825167866,0.4355494966006388,FT18386,0.5028042204085209,0.7913245778816226,negFT18386
182,negFT16320,PC,PC 35:0,PC(17:0_18:0),M-H+FA,posFT32238,820.6065238,8.648625692,FT16320,neg,FT19540,FT16320,-0.0141206965831433,0.5438776450997184,FT19540,0.6866057267731721,0.738545759731022,negFT19540
183,negFT16019,PC,PC 35:4,PC(15:0_20:4),M-H+FA,posFT31760,812.542621,6.125085449,FT16019,neg,FT19158,FT16019,-0.000360404137492,-0.334911118197459,FT19158,0.6128694153762827,0.7828115477613943,negFT19158
184,negFT16528,PC,PC 36:4,PC(18:2_18:2),M-H+FA,posFT32625,826.5602493,6.132430013,FT16528,neg,FT19803,FT16528,0.0002514198319012,0.268152920032619,FT19803,0.5393464558470841,0.7462065437366795,negFT19803
185,negFT16462,PC,PC 36:5,PC(16:0_20:5). PC(16:1_20:4),M-H+FA,posFT32498,824.5449089,5.970825704,FT16462,neg,FT19714,FT16462,-0.0063240122715964,0.1097875433904498,FT19714,0.543288167492453,0.7351320889577615,negFT19714
186,negFT17377,PC,PC 37:1,PC(17:0_20:1). PC(18:1_19:0). PC(18:0_19:1),M-H+FA,posFT34214,846.6235471,8.758369446,FT17377,neg,FT20835,FT17377,-0.0066100829280042,-0.5432853464294057,FT20835,0.5411276339683789,0.5860121438913665,negFT20835
187,negFT17309,PC,PC 37:2,PC(17:1_20:1). PC(18:1_19:1). PC(18:0_19:2),M-H+FA,posFT34060,844.606851,7.904218038,FT17309,neg,FT20741,FT17309,-0.0145592405405778,-0.3429831018940968,FT20741,0.7144650350741542,0.9100146299489452,negFT20741
188,negFT17157,PC,PC 37:4,PC(17:0_20:4),M-H+FA,posFT33743,840.575493,6.935922241,FT17157,neg,FT20534,FT17157,0.0004588777438341,-0.1677530103166723,FT20534,0.6679941205432356,0.7623428568464838,negFT20534
189,negFT17079,PC,PC 37:5,PC(17:1_20:4),M-H+FA,posFT33603,838.5592227,6.300958252,FT17079,neg,FT20441,FT17079,-0.0001847394578682,0.7442964809800586,FT20441,0.5635957010431838,0.6586472450708338,negFT20441
190,negFT18153,PC,PC 39:6,PC(17:0_22:6),M-H+FA,posFT35560,864.5758922,6.677863057,FT18153,neg,FT21779,FT18153,-0.0016922946047372,-0.164720849635585,FT21779,0.6920572136128824,0.8504237219804653,negFT21779
191,negFT19110,PC,PC 40:1,PC(16:0_24:1),M-H+FA,posFT37156,888.6698893,10.79563395,FT19110,neg,FT22977,FT19110,-0.0041449486585385,-0.8077333415879847,FT22977,0.5857302242648407,0.1853404053937651,negFT22977
192,negFT19023,PC,PC 40:2,PC(18:1_22:1). PC(20:1_20:1). PC(16:1_24:1),M-H+FA,posFT37020,886.6543326,9.674219767,FT19023,neg,FT22880,FT19023,1.5244633377875516e-06,-0.757208112385114,FT22880,0.7583233531244531,0.8472843622766512,negFT22880
193,negFT18812,PC,PC 40:5,PC(20:1_20:4),M-H+FA,posFT36606,880.6068781,7.529116567,FT18812,neg,FT22608,FT18812,-0.0031698976968232,-0.7061044200109472,FT22608,0.590836589308186,0.2801681106242715,negFT22608
194,negFT19658,PC,PC 42:8,PC(20:4_22:4),M-H+FA,posFT38095,902.5911628,6.544530996,FT19658,neg,FT23587,FT19658,-0.0039290437156385,-1.0637465647063855,FT23587,0.5051849535308599,0.6172332526669053,negFT23587
195,negFT13023,PE,PE 36:4,PE(16:0_20:4),M-H,posFT29764,738.5081753,6.66860199,FT13023,neg,FT15279,FT13023,0.0058893289402188,0.5445702951850031,FT15279,0.7211330132067749,0.5348065907684352,negFT15279
196,negFT13024,PE,PE 36:4,PE(16:1_20:3). PE(18:2_18:2),M-H,,738.5082315,6.275914256,FT13024,neg,FT15277,FT13024,0.0009140889892869,0.7006428656226737,FT15277,0.4355851380560164,0.6428908619370367,negFT15277
197,negFT14037,PE,PE 38:5,PE(18:1_20:4). PE(16:0_22:5). PE(16:1_22:4),M-H,posFT31627,764.5238078,6.835573324,FT14037,neg,FT16585,FT14037,-6.760944477157693e-05,0.4645674475505755,FT16585,0.4123894799228207,0.5364527308426306,negFT16585
198,negFT14525,PE,PE 39:6,PE(17:0_22:6),M-H,posFT32384,776.525023,6.849568176,FT14525,neg,FT17245,FT14525,-0.0058568285373299,1.1616649100167855,FT17245,0.8181006326788061,0.7449383728444834,negFT17245
199,negFT14900,PE,PE 40:8,PE(18:2_22:6). PE(20:4_20:4),M-H,posFT33104,786.5083579,6.016875203,FT14900,neg,FT17805,FT14900,-0.0026098931437745,0.358784154569303,FT17805,0.7613997583699618,0.7454639894407006,negFT17805
200,negFT11609,PE_P,PE_P 34:0,PE(P-18:0_16:0),M-H,posFT27543,702.5482831,8.993347677,FT11609,neg,FT13607,FT11609,0.0175157460030668,5.642023869234697,FT13607,0.479036846423243,0.330815491208329,negFT13607
201,negFT13641,PE_P,PE_P 38:3,PE(P-16:0_22:3). PE(P-18:0_20:3). PE(P-18:1_20:2),M-H,posFT30731,752.5602549,8.631768799,FT13641,neg,FT16020,FT13641,-0.0015456483184763,0.5831630572837141,FT16020,0.3673973420499424,0.4953257435114623,negFT16020
