,feature name,importance
163,74 Corpus Callosum Posterior_PE 39 6,0.019751283878767713
164,18 1ary Somatosensory (BA3/1/2)_PC 44 2,0.019632635682690004
165,70 Ventral Lateral Thalamus_LPC 20 4,0.019538298707448852
166,18 1ary Somatosensory (BA3/1/2)_PC 28 0,0.01908522550113433
167,70 Ventral Lateral Thalamus_LPC 18 1,0.017764519595518245
168,70 Ventral Lateral Thalamus_LPE 22 6,0.017685185366054755
169,68 Medial Dorsal Thalamus_PC 31 1,0.017048293242870004
170,34 Dorsolateral Prefrontal (BA9)_PC_P 38 4,0.016732880604306766
171,22 Premotor Medial (BA6m)_TG 58 10,0.016550023931243742
172,47 Cingulate Posterior (BA31)_PC 38 7,0.0162983883346261
173,23 Insular Anterior Cortex_PC 45 2,0.015887044635767674
174,75 Cerebellar White Matter_PC 37 5,0.01554679095828675
175,3  Posterior Superior Parietal (BA7p)_LPE 18 1,0.01509485386646752
176,34 Dorsolateral Prefrontal (BA9)_PC_P 34 1,0.012665042559108601
177,70 Ventral Lateral Thalamus_Cer d36 2,0.012107102257399588
178,34 Dorsolateral Prefrontal (BA9)_PG 34 2,0.011959134706494946
179,44 Dorsolateral Prefrontal (BA46)_PE 42 10,0.011401960845295621
180,70 Ventral Lateral Thalamus_Cer d38 2,0.011024161892640391
181,75 Cerebellar White Matter_PC_P 38 2,0.010985565739620472
182,74 Corpus Callosum Posterior_PE 38 6,0.010597342900968752
183,18 1ary Somatosensory (BA3/1/2)_PC_P 38 2,0.010558302234681507
184,"32 Ventrolateral Prefrontal, Broca (BA44)_TG 50 3",0.010521301797998449
185,53 Insular Posterior Cortex_PC_O 32 0,0.010403805358332045
186,23 Insular Anterior Cortex_FA 24 1,0.010022834113434938
187,70 Ventral Lateral Thalamus_LPE 20 4,0.009827169363945553
188,22 Premotor Medial (BA6m)_TG 56 5,0.009825926576587558
189,70 Ventral Lateral Thalamus_CE 20 4,0.009699245884924908
190,68 Medial Dorsal Thalamus_PC_O 30 0,0.009677655746337104
191,70 Ventral Lateral Thalamus_FA 20 4,0.009486314964615227
192,34 Dorsolateral Prefrontal (BA9)_PC_O 32 1,0.009485140553958667
193,75 Cerebellar White Matter_PG 40 8,0.009378086339720504
194,70 Ventral Lateral Thalamus_PS 40 6,0.009363762856385483
195,70 Ventral Lateral Thalamus_PC 35 4,0.009362012065456468
196,70 Ventral Lateral Thalamus_PC 37 4,0.009280303324951856
197,18 1ary Somatosensory (BA3/1/2)_PC 46 5,0.009000968025167942
198,50 Orbitofrontal (BA11)_LPE 22 4,0.008971214383532546
199,18 1ary Somatosensory (BA3/1/2)_DG 42 4,0.008796693864273245
200,68 Medial Dorsal Thalamus_PC_O 34 1,0.00865085516308897
201,"26 2ary Auditory, language (BA22a)_CE 20 3",0.008620516242864838
202,68 Medial Dorsal Thalamus_PC_O 36 1,0.00853989424869208
203,70 Ventral Lateral Thalamus_PE 32 1,0.008534905489821294
204,70 Ventral Lateral Thalamus_PC 31 1,0.00851556926440025
205,70 Ventral Lateral Thalamus_LPE 22 4,0.008427971843539377
206,17 1ary Visual Anterior (BA17a)_PC_P 38 2,0.008348560962609677
207,34 Dorsolateral Prefrontal (BA9)_Cer m44 2,0.008303588094817793
208,34 Dorsolateral Prefrontal (BA9)_DG 36 3,0.008290388061673027
209,25 Posterior Inferior Temporal (BA20p)_PC_P 38 2,0.0082213241807443
210,34 Dorsolateral Prefrontal (BA9)_PC_O 36 2,0.008168019450521532
